date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,14464.0,-14166.0,7785.0,8082.0
2015-03-01,-15162.0,-7972.0,31045.0,7910.0
2016-03-01,-34495.0,9211.0,22495.0,-2789.0
2017-03-01,32209.0,-12458.0,-2487.0,17263.0
2018-03-01,-38390.0,-10007.0,41342.0,-7055.0
2019-03-01,37125.0,-18674.0,5643.0,24094.0
2020-03-01,30416.0,-9485.0,8865.0,29795.0
2021-03-01,12633.0,-54288.0,7279.0,-34375.0
2022-03-01,28137.0,-27112.0,47894.0,48919.0
2023-03-01,22075.0,-32351.0,6641.0,-3636.0
2024-03-01,-5555.0,-9001.0,22341.0,7785.0
2025-03-01,44384.0,-51178.0,-7000.0,-13794.0
