date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,45002.0,20505.0,16682.0,7815.0,0.17,9121.0,0.0,16936.0,0.25,12735.0,11.39,0.0,0.0,/company/source/quarter/1298/12/2022/
2023-03-01,47548.0,22606.0,17770.0,7172.0,0.15,9610.0,0.0,16783.0,0.25,12634.0,11.29,0.0,0.0,/company/source/quarter/1298/3/2023/
2023-06-01,51168.0,25955.0,18470.0,6744.0,0.13,9853.0,0.0,16597.0,0.25,12403.0,11.06,0.0,0.0,/company/source/quarter/1298/6/2023/
2023-09-01,75039.0,41250.0,45349.0,-11560.0,-0.15,32528.0,0.0,20967.0,0.17,17312.0,11.09,0.0,0.0,/company/source/quarter/1298/9/2023/
2023-12-01,78008.0,43242.0,50530.0,-15764.0,-0.2,37007.0,0.0,21243.0,0.17,17718.0,11.37,0.0,0.0,/company/source/quarter/1298/12/2023/
2024-03-01,79434.0,43692.0,62938.0,-27196.0,-0.34,44958.0,0.0,17761.0,-0.01,18013.0,11.6,0.0,0.0,/company/source/quarter/1298/3/2024/
2024-06-01,81546.0,44580.0,49690.0,-12723.0,-0.16,35450.0,0.0,22727.0,0.24,17188.0,10.83,0.0,0.0,/company/source/quarter/1298/6/2024/
2024-09-01,83002.0,45414.0,52074.0,-14487.0,-0.17,38455.0,0.0,23968.0,0.22,18627.0,11.68,0.0,0.0,/company/source/quarter/1298/9/2024/
2024-12-01,85040.0,46914.0,41307.0,-3181.0,-0.04,27154.0,0.0,23973.0,0.24,18340.0,11.54,0.0,0.0,/company/source/quarter/1298/12/2024/
2025-03-01,86779.0,46986.0,47709.0,-7916.0,-0.09,33489.0,0.0,25573.0,0.25,19285.0,12.31,0.0,0.0,/company/source/quarter/1298/3/2025/
2025-06-01,87372.0,47709.0,64497.0,-24833.0,-0.28,45683.0,0.0,20850.0,0.18,17090.0,10.6,0.0,0.0,/company/source/quarter/1298/6/2025/
2025-09-01,86994.0,46741.0,45161.0,-4908.0,-0.06,31567.0,0.0,26659.0,0.24,20364.0,12.76,0.0,0.0,/company/source/quarter/1298/9/2025/
2025-12-01,87067.0,45821.0,54145.0,-12899.0,-0.15,39860.0,0.0,26961.0,0.23,20691.0,12.87,0.0,0.0,/company/source/quarter/1298/12/2025/
