date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.7492,0.1813,0.028300000000000002,0.0412,81676.0
2018-03-01,0.7492,0.2072,0.0108,0.032799999999999996,73186.0
2019-03-01,0.7492,0.1931,0.0253,0.032400000000000005,81444.0
2020-03-01,0.7492,0.20370000000000002,0.015700000000000002,0.031400000000000004,80147.0
2021-03-01,0.7492,0.2051,0.0083,0.0374,148923.0
2022-03-01,0.7492,0.16620000000000001,0.056900000000000006,0.0277,226071.0
2023-03-01,0.6923,0.1775,0.051500000000000004,0.0787,746605.0
2024-03-01,0.7261,0.1441,0.057699999999999994,0.0722,537342.0
2025-03-01,0.7397,0.11710000000000001,0.06860000000000001,0.0745,655946.0
2025-12-01,0.7397,0.1164,0.06709999999999999,0.0766,642614.0
